date,week,bench,bench_r,deadlift,deadlift_r,squat,squat_r,weight
22-10-24,1,60,1,100,3,100,3,102
22-10-31,2,60,1,120,1,,,103
22-11-07,3,60,3,120,1,110,3,104
22-11-14,4,65,2,125,1,120,1,104
22-11-21,5,70,1,130,1,120,1,105
22-11-28,6,70,3,130,1,,,104
22-12-05,7,,,,,,,104
22-12-12,8,75,1,135,2,,,104
22-12-19,9,80,1,140,1,120,1,105
22-12-26,10,80,1,140,2,120,2,105
23-01-02,11,80,2,130,4,120,2,105
23-01-09,12,80,1,140,5,120,4,105
23-01-16,13,,,,,,,105
23-01-23,14,80,2,140,2,100,3,105
23-01-30,15,80,2,120,4,100,5,105
23-02-06,16,85,1,140,2,130,2,104
23-02-13,17,,,,,,,105
23-02-20,18,80,3,150,1,135,1,105
23-02-27,19,,,,,,,105
23-03-06,20,80,3,140,1,135,2,104
23-03-13,21,85,2,140,1,,,105
23-03-20,22,,,150,1,135,1,104
23-03-27,23,90,1,155,1,135,1,103
23-04-03,24,85,1,150,2,,,104
23-04-10,25,,,,,,,105
23-04-17,26,85,1,,,,,106
23-04-24,27,,,,,80,6,106
23-05-01,28,,,,,,,106
23-05-08,29,70,5,100,10,100,8,106
23-05-15,30,85,2,105,10,105,11,106
23-05-22,31,80,4,135,4,135,3,105
23-05-29,32,80,6,135,6,,,104
23-06-05,33,80,5,,,,,105
23-06-12,34,,,,,,,105
23-06-19,35,,,,,,,105
23-06-26,36,80,6,135,4,,,105
23-07-03,37,,,,,,,105
23-07-10,38,80,8,135,8,135,2,106
23-07-17,39,90,4,160,1,140,1,106
23-07-24,40,95,3,160,2,140,1,106
23-07-31,41,95,2,150,2,,,107
23-08-07,42,90,4,140,3,,,107
23-08-14,43,,,,,,,107
23-08-21,44,95,2,,,,,107
23-08-28,45,95,2,150,3,141.25,3,107
23-09-04,46,95,3,150,1,,,107
23-09-11,47,90,3,160,1,150,1,107
23-09-18,48,,,,,,,107
23-09-25,49,,,,,150,2,107
23-10-02,50,100,1,150,3,,,107
23-10-09,51,90,3,,,160,1,108
23-10-16,52,,,160,1,,,107
23-10-23,53,95,1,,,,,107
23-10-30,54,,,,,,,108
23-11-06,55,90,3,170,1,160,3,109
23-11-13,56,90,2,,,,,109
23-11-20,57,100,1,,,,,108
23-11-27,58,80,7,160,1,160,1,108
23-12-04,59,90,3,,,,,108
23-12-11,60,85,7,160,1,150,3,108
23-12-18,61,95,2,160,4,150,2,108
23-12-25,62,100,1,160,1,170,1,109
24-01-01,63,105,1,160,3,160,3,110
24-01-08,64,95,3,,,150,4,110
24-01-15,65,100,2,170,1,165,4,111
24-01-22,66,95,3,160,2,170,1,111
24-01-29,67,95,3,160,4,,,111
24-02-05,68,100,1,,,175,1,111
24-02-12,69,100,1,160,1,140,3,111
24-02-19,70,90,4,160,3,160,4,110
24-02-26,71,,,,,,,111
24-03-04,72,95,1,170,1,,,110
24-03-11,73,95,2,160,1,90,7,110
24-03-18,74,100,1,170,1,120,6,110
24-03-25,75,90,3,170,1,100,10,109
24-04-01,76,95,2,175,1,156,4,108
24-04-08,77,91,5,166,2,166,1,109
24-04-15,78,106,1,176,1,,,109
24-04-22,79,91,6,176,2,176,1,108
24-04-29,80,,,,,,,108
24-05-06,81,101,1,166,1,,,107
24-05-13,82,95,2,176,1,156,2,107
24-05-20,83,101,1,176,1,166,1,108
24-05-27,84,,,,,156,4,107
24-06-03,85,101,2,181,1,176,3,108
24-06-10,86,101,2,176,1,166,3,107
24-06-17,87,106,1,176,1,156,5,109
24-06-24,88,106,1,176,1,186,1,108
24-07-01,89,111,1,176,1,191,1,108
24-07-08,90,101,2,176,1,176,1,107
24-07-15,91,101,1,176,1,,,107
24-07-22,92,106,1,181,1,186,1,108
24-07-29,93,106,1,166,1,188.5,1,107
24-08-05,94,106,1,171,1,176,3,108
24-08-12,95,101,1,178.5,1,191,1,107
24-08-19,96,101,1,,,,,106
24-08-26,97,,,,,,,106
24-09-02,98,,,,,,,106
24-09-09,99,,,,,166,1,106
24-09-16,100,91,1,166,1,,,106
24-09-23,101,101,1,166,1,176,1,106
24-09-30,102,,,,,186,1,107
24-10-07,103,91,1,,,176,1,107
24-10-14,104,,,,,,,
24-10-21,105,91,3,156,1,,,106
24-10-28,106,,,,,,,
24-11-04,107,,,,,,,
24-11-11,108,,,,,,,106
24-11-18,109,,,,,,,
24-11-25,110,,,,,,,
24-12-02,111,,,,,,,
24-12-09,112,,,,,,,
24-12-16,113,,,,,,,104
24-12-23,114,,,,,,,
24-12-30,115,91,1,,,140,1,110
25-01-06,116,91,1,,,,,107
25-01-13,117,91,1,136,1,,,108
25-01-20,118,,,,,,,
25-01-27,119,91,1,,,156,1,106
25-02-03,120,91,1,146,1,166,1,106
25-02-10,121,,,,,,,104
25-02-17,122,,,,,,,106
25-02-24,123,,,,,,,105
25-03-03,124,90,1,,,,,104
25-03-10,125,,,,,,,
25-03-17,126,,,,,,,
25-03-24,127,,,,,,,
25-03-31,128,,,,,,,
25-04-07,129,,,,,,,
25-04-14,130,,,,,,,
25-04-21,131,,,,,,,
25-04-28,132,,,,,,,
25-05-05,133,,,,,,,
25-05-12,134,,,,,,,
25-05-19,135,,,,,,,
25-05-26,136,,,,,,,
25-06-02,137,,,,,,,
25-06-09,138,,,,,,,
25-06-16,139,,,,,,,
25-06-23,140,,,,,,,
25-06-30,141,,,,,,,
25-07-07,142,,,,,,,
25-07-14,143,,,,,,,
25-07-21,144,,,,,,,
25-07-28,145,,,,,,,
25-08-04,146,,,,,,,
25-08-11,147,,,,,,,
25-08-18,148,,,,,,,
25-08-25,149,,,,,,,
25-09-01,150,,,,,,,
25-09-08,151,,,,,120,2,102
25-09-15,152,,,,,,,
25-09-22,153,,,,,,,
25-09-29,154,,,,,,,
25-10-06,155,,,,,,,
25-10-13,156,,,,,,,
25-10-20,157,,,,,,,
25-10-27,158,,,,,,,
25-11-03,159,,,,,,,
25-11-10,160,,,,,,,
25-11-17,161,,,,,,,
25-11-24,162,,,,,,,
25-12-01,163,,,,,,,
25-12-08,164,,,,,,,
25-12-15,165,,,,,,,
25-12-22,166,,,,,,,
25-12-29,167,,,,,,,
26-01-05,168,,,,,,,
26-01-12,169,,,,,,,
26-01-19,170,,,,,,,
26-01-26,171,,,,,,,
26-02-02,172,,,,,130,1,108
26-02-09,173,85,2,130,2,120,3,108
26-02-16,174,85,4,140,2,130,2,108
26-02-23,175,95,1,,,150,2,106
26-03-02,176,95,1,,,160,1,106
26-03-09,177,95,2,,,160,2,107
26-03-16,178,100,1,150,1,170,1,107
26-03-23,179,95,1,,,140,3,107
26-03-30,180,,,,,,,
26-04-06,181,,,,,,,
26-04-13,182,,,,,,,
26-04-20,183,,,,,,,
26-04-27,184,,,,,,,
26-05-04,185,,,,,,,
26-05-11,186,,,,,,,
26-05-18,187,,,,,,,
26-05-25,188,,,,,,,
26-06-01,189,,,,,,,
26-06-08,190,,,,,,,
26-06-15,191,,,,,,,
26-06-22,192,,,,,,,
26-06-29,193,,,,,,,
26-07-06,194,,,,,,,
26-07-13,195,,,,,,,
26-07-20,196,,,,,,,
26-07-27,197,,,,,,,
26-08-03,198,,,,,,,
26-08-10,199,,,,,,,
26-08-17,200,,,,,,,
26-08-24,201,,,,,,,
26-08-31,202,,,,,,,
26-09-07,203,,,,,,,
26-09-14,204,,,,,,,
26-09-21,205,,,,,,,
26-09-28,206,,,,,,,
26-10-05,207,,,,,,,
26-10-12,208,,,,,,,
26-10-19,209,,,,,,,
26-10-26,210,,,,,,,
26-11-02,211,,,,,,,
26-11-09,212,,,,,,,
26-11-16,213,,,,,,,
26-11-23,214,,,,,,,
26-11-30,215,,,,,,,
26-12-07,216,,,,,,,
26-12-14,217,,,,,,,
26-12-21,218,,,,,,,
26-12-28,219,,,,,,,
27-01-04,220,,,,,,,
27-01-11,221,,,,,,,
27-01-18,222,,,,,,,
27-01-25,223,,,,,,,
27-02-01,224,,,,,,,
27-02-08,225,,,,,,,
27-02-15,226,,,,,,,
27-02-22,227,,,,,,,
27-03-01,228,,,,,,,
27-03-08,229,,,,,,,
27-03-15,230,,,,,,,
27-03-22,231,,,,,,,
27-03-29,232,,,,,,,
27-04-05,233,,,,,,,
27-04-12,234,,,,,,,
27-04-19,235,,,,,,,
27-04-26,236,,,,,,,
27-05-03,237,,,,,,,
27-05-10,238,,,,,,,
27-05-17,239,,,,,,,
27-05-24,240,,,,,,,
27-05-31,241,,,,,,,
27-06-07,242,,,,,,,
27-06-14,243,,,,,,,
27-06-21,244,,,,,,,
27-06-28,245,,,,,,,
27-07-05,246,,,,,,,
27-07-12,247,,,,,,,
27-07-19,248,,,,,,,
27-07-26,249,,,,,,,
27-08-02,250,,,,,,,
27-08-09,251,,,,,,,
27-08-16,252,,,,,,,
